Model,MSE,R2,RMSPE
LSTM,0.008008984204340503,0.9810039126364739,13.782629204335395
CNN,0.015029345033356498,0.9643526889320758,18.88049521859447
MLP,0.021987581190548815,0.9478488154612758,22.836633493664156
TCN,0.020512331933362275,0.9513478813924215,22.057224918158838
